Escherichia coli,2001;2002;2003;2004;2005;2006;2007
Staphylococcus aureus,1301;1303;1304;1305;1306
Staphylococcus epidermidis,1312
Coagulase-negative staphylococci (CNS),1311;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323;1324;1325
Klebsiella pneumoniae,2351
Enterococcus faecalis,1201;1202
Pseudomonas aeruginosa,4001;4002
Enterococcus faecium,1205;1206
Enterobacter cloacae,2151
Candida albicans,7001
Klebsiella oxytoca,2352
Bacillus cereus,6101
Corynebacterium sp.,6000
Bacillus sp.,6100
Staphylococcus sp.,1300
