医療機関,合計,療養,精神,結核感染症,一般
00000,1000,150,40,20,790
1,0,0,0,0,0
00001,0,0,0,0,0
01002,273,0,0,10,263
01004,499,0,0,0,499
01008,450,0,0,0,450
01009,262,100,0,0,162
01010,281,0,0,0,281
01011,276,0,0,0,276
01013,388,0,80,6,302
01015,240,0,0,0,240
01017,300,0,0,0,300
01018,157,0,0,0,157
01019,382,0,0,4,378
01020,440,0,0,0,440
01021,347,0,0,0,347
01022,216,116,0,0,100
01023,539,0,0,0,539
01024,586,0,40,0,546
01025,255,56,0,4,195
01026,360,0,0,0,360
01027,489,0,58,0,431
01028,258,0,0,0,258
01029,199,0,0,0,199
01030,532,0,40,2,490
01031,199,19,0,0,180
01033,498,0,80,10,408
01034,374,44,60,0,270
01035,936,0,72,0,864
01038,938,0,42,6,890
01039,480,0,0,0,480
01040,500,0,40,50,410
01041,668,0,50,36,582
01042,322,0,0,10,312
01043,240,0,0,0,240
01044,519,0,0,0,519
01045,225,0,0,0,225
01046,301,0,0,0,301
01047,312,0,0,0,312
01048,325,0,0,0,325
01049,747,0,38,8,701
01050,260,0,0,0,260
01051,170,50,0,0,120
01053,171,51,0,4,116
01054,314,0,44,0,270
01055,549,0,120,28,401
01056,300,0,300,0,0
01057,479,47,0,0,432
01058,602,0,31,0,571
01059,310,0,0,20,290
01060,254,50,0,2,202
01061,527,0,0,0,527
01063,243,0,0,0,243
01064,450,0,0,0,450
01065,500,0,0,0,500
01066,301,0,0,0,301
01067,643,0,94,14,535
01068,234,0,60,2,172
01070,748,0,70,0,678
01071,437,0,100,6,331
01072,232,,,,
01073,215,0,0,0,215
01074,267,46,0,0,221
01075,366,0,0,2,364
01076,359,0,55,4,300
01077,155,0,0,0,155
01078,159,48,0,0,111
01079,145,0,0,0,145
01080,192,0,0,0,192
01081,172,52,0,0,120
01082,150,0,0,0,150
01083,760,319,0,0,441
01084,42,,,,
01085,337,0,59,0,278
01086,82,0,0,0,82
01087,263,0,0,0,263
01088,520,0,0,0,520
01089,135,0,0,4,131
01090,484,0,115,4,365
01091,173,0,0,0,173
01092,99,99,0,0,0
01093,138,96,0,0,42
01094,128,0,0,0,128
01095,24,0,0,0,24
01096,656,0,0,0,656
01097,276,0,0,0,276
01098,88,,,,
01099,99,0,0,0,99
01100,50,0,0,0,50
01102,362,0,100,4,258
01103,190,0,0,0,190
01104,99,,,,
01105,199,89,0,0,110
01106,354,50,0,4,300
01107,347,40,100,4,203
01108,203,0,0,4,199
01109,581,0,461,0,120
01110,104,48,0,0,56
01111,59,22,0,0,37
01112,179,120,0,0,59
01113,57,0,0,0,57
01114,199,43,65,0,91
01115,150,0,0,0,150
01116,199,150,0,0,49
01118,168,0,0,0,168
01119,42,0,0,0,42
01120,303,50,0,0,253
01121,108,0,0,0,108
01122,99,39,0,0,60
01123,168,60,0,0,108
01124,378,133,0,0,245
01125,180,60,0,0,120
01126,103,0,0,0,103
01127,99,0,0,0,99
01128,188,,,,
01129,200,,,,
01130,163,120,43,0,0
01131,155,120,0,0,35
01132,68,0,0,0,68
01133,150,0,0,2,148
01134,164,0,0,0,164
01135,92,0,0,0,92
01136,260,,,,
01137,250,0,0,0,250
01138,99,0,0,0,99
01139,166,58,0,0,108
01140,44,,,,
01141,217,28,189,0,0
01142,167,36,0,0,131
01143,137,0,0,0,137
01144,60,0,0,0,60
02001,644,0,41,6,597
02002,250,0,0,0,250
02003,220,0,0,0,220
02004,434,0,54,4,376
02005,694,0,0,5,689
02006,379,46,50,4,279
02007,360,0,0,60,300
02008,474,0,0,0,474
02009,342,0,0,0,342
02010,538,0,0,0,538
02011,282,0,0,0,282
02012,434,0,60,0,374
02013,271,0,0,0,271
02015,199,86,0,0,113
02016,608,0,50,6,552
02017,328,50,278,0,0
02018,223,90,0,0,133
02019,120,0,0,0,120
02020,121,0,0,0,121
02021,248,169,0,0,79
02022,171,0,0,0,171
02023,110,57,0,0,53
02024,440,0,44,4,392
02025,60,0,0,0,60
02026,140,,,,
02027,282,113,0,0,169
02028,167,0,0,0,167
03001,386,45,0,0,341
03002,284,0,0,0,284
03004,1166,0,78,0,1088
03005,346,0,0,9,337
03006,685,0,0,0,685
03007,220,0,0,0,220
03008,340,0,340,0,0
03009,268,0,80,8,180
03010,315,0,0,10,305
03011,454,0,105,14,335
