﻿COUNTRY,YEAR,SPECIMEN,PATHOGEN,GENDER,ORIGIN,AGEGROUP,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS,BATCHID
JPN,2017,URINE,ESCCOL,M,CO,<1,AMP,1327,17,5,2143,93,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,AMP,385,7,1,263,8,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,AMP,251,4,1,248,2,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,AMP,160,3,0,244,8,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,AMP,210,1,1,271,25,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,AMP,405,5,1,479,38,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,AMP,728,22,2,910,103,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,AMP,1550,34,2,1985,166,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,AMP,4365,89,25,5609,462,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,AMP,6858,134,29,8156,654,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,AMP,4803,90,26,4656,378,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,AMP,694,14,3,1120,50,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,AMP,262,2,1,137,25,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,AMP,179,2,0,64,8,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,AMP,156,0,1,115,17,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,AMP,177,1,1,119,19,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,AMP,350,7,0,269,32,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,AMP,826,13,8,667,59,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,AMP,1773,37,5,1530,124,3,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,AMP,4572,74,24,3958,533,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,AMP,7352,129,18,6100,989,4,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,AMP,5361,82,23,3995,820,4,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,AMP,626,10,3,1086,59,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,AMP,611,6,1,716,1,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,AMP,531,9,2,895,5,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,AMP,977,13,7,2260,261,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,AMP,1311,22,6,2806,293,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,AMP,1563,18,5,3345,372,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,AMP,2389,47,11,5231,528,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,AMP,3869,81,15,6446,674,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,AMP,8486,160,38,13831,1538,6,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,AMP,14316,308,61,21089,1832,4,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,AMP,15422,351,94,19011,1372,11,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,AMP,419,10,2,693,34,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,AMP,432,3,2,318,58,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,AMP,247,1,1,251,28,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,AMP,253,3,2,339,26,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,AMP,372,4,3,459,67,1,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,AMP,635,13,2,856,68,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,AMP,1181,20,7,1584,110,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,AMP,2201,35,10,2709,238,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,AMP,5732,112,31,6803,802,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,AMP,12461,280,68,14806,2041,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,AMP,16655,352,83,18108,3239,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,IPM,0,1,0,3278,295,11,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,IPM,1,1,0,588,70,4,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,IPM,0,1,0,462,42,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,IPM,0,0,0,363,49,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,IPM,0,1,0,438,67,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,IPM,0,1,0,829,97,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,IPM,2,1,0,1579,170,13,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,IPM,2,1,0,3361,346,27,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,IPM,2,3,0,9499,970,76,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,IPM,4,13,0,14343,1369,104,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,IPM,3,3,0,8970,892,90,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,IPM,0,2,0,1727,147,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,IPM,1,0,0,377,48,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,IPM,0,1,0,228,24,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,IPM,0,0,0,261,28,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,IPM,0,0,0,281,36,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,IPM,0,1,0,580,76,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,IPM,2,2,0,1424,140,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,IPM,1,2,0,3136,321,12,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,IPM,1,5,0,8234,891,35,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,IPM,7,9,0,13012,1496,68,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,IPM,2,7,0,9068,1157,51,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,IPM,0,0,0,1616,157,11,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,IPM,0,1,0,1186,140,8,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,IPM,1,0,0,1284,148,9,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,IPM,0,0,0,2994,480,45,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,IPM,2,0,0,3852,548,36,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,IPM,0,1,0,4592,651,59,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,IPM,1,4,0,7142,980,80,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,IPM,3,4,0,9804,1190,84,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,IPM,4,13,0,21231,2648,163,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,IPM,9,16,0,33420,3807,358,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,IPM,7,17,0,32489,3413,335,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,IPM,0,2,0,1082,70,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,IPM,0,2,0,716,93,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,IPM,1,1,0,474,51,1,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,IPM,1,0,0,568,50,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,IPM,0,0,0,824,79,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,IPM,0,1,0,1435,136,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,IPM,0,2,0,2593,296,11,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,IPM,2,7,0,4727,443,16,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,IPM,4,11,0,12078,1328,62,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,IPM,11,12,0,26102,3382,151,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,IPM,8,16,0,33585,4645,186,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,MEM,1,1,0,3572,0,11,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,MEM,1,0,0,659,0,4,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,MEM,2,0,0,500,3,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,MEM,0,0,0,410,2,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,MEM,0,0,0,504,3,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,MEM,2,0,0,911,14,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,MEM,2,1,0,1722,27,13,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,MEM,3,0,0,3699,12,23,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,MEM,5,0,0,10439,40,66,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,MEM,7,4,0,15696,33,93,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,MEM,4,1,0,9796,69,88,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,MEM,0,0,0,1876,0,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,MEM,2,0,0,417,7,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,MEM,0,0,0,242,11,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,MEM,0,0,0,283,6,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,MEM,4,0,0,305,9,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,MEM,0,0,0,641,16,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,MEM,3,0,0,1565,0,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,MEM,4,1,0,3447,8,12,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,MEM,10,7,0,9114,0,35,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,MEM,16,4,0,14493,14,65,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,MEM,7,1,0,10153,75,49,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,MEM,1,0,0,1772,0,11,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,MEM,0,0,0,1328,0,7,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,MEM,0,0,0,1434,0,8,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,MEM,0,0,0,3377,97,45,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,MEM,1,0,0,4319,86,32,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,MEM,0,0,0,5135,116,52,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,MEM,0,1,0,7958,176,72,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,MEM,0,2,0,10735,275,73,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,MEM,6,2,0,23364,539,148,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,MEM,11,6,0,36590,677,326,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,MEM,16,2,0,35417,519,307,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,MEM,1,0,0,1153,0,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,MEM,1,0,0,792,18,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,MEM,1,1,0,512,13,1,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,MEM,0,0,0,609,10,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,MEM,0,0,0,885,18,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,MEM,1,0,0,1559,12,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,MEM,0,1,0,2859,31,11,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,MEM,3,0,0,5128,49,15,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,MEM,10,2,0,13382,29,60,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,MEM,14,9,0,29183,314,138,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,MEM,34,11,0,37593,630,172,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,DOR,0,0,0,0,3442,143,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,DOR,0,0,0,0,625,39,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,DOR,0,0,0,0,481,25,DS1
