YEAR,SPECIMEN,GENDER,ORIGIN,AGEGROUP,NUMSAMPLEDPATIENTS
2017,URINE,M,CO,<1,13982
2017,URINE,M,CO,01<04,8865
2017,URINE,M,CO,05<14,5733
2017,URINE,M,CO,15<24,6287
2017,URINE,M,CO,25<34,9349
2017,URINE,M,CO,35<44,13894
2017,URINE,M,CO,45<54,20370
2017,URINE,M,CO,55<64,35454
2017,URINE,M,CO,65<74,85317
2017,URINE,M,CO,75<84,107084
2017,URINE,M,CO,85<,61752
2017,URINE,F,CO,<1,10061
2017,URINE,F,CO,01<04,9496
2017,URINE,F,CO,05<14,7065
2017,URINE,F,CO,15<24,12415
2017,URINE,F,CO,25<34,17630
2017,URINE,F,CO,35<44,20291
2017,URINE,F,CO,45<54,26111
2017,URINE,F,CO,55<64,31832
2017,URINE,F,CO,65<74,62526
2017,URINE,F,CO,75<84,94039
2017,URINE,F,CO,85<,93002
2017,STOOL,M,CO,<1,8342
2017,STOOL,M,CO,01<04,13604
2017,STOOL,M,CO,05<14,14902
2017,STOOL,M,CO,15<24,10578
2017,STOOL,M,CO,25<34,9613
2017,STOOL,M,CO,35<44,8718
2017,STOOL,M,CO,45<54,8060
2017,STOOL,M,CO,55<64,7530
2017,STOOL,M,CO,65<74,10988
2017,STOOL,M,CO,75<84,9234
2017,STOOL,M,CO,85<,4201
2017,STOOL,F,CO,<1,6566
2017,STOOL,F,CO,01<04,10383
2017,STOOL,F,CO,05<14,10314
2017,STOOL,F,CO,15<24,10049
2017,STOOL,F,CO,25<34,9883
2017,STOOL,F,CO,35<44,8658
2017,STOOL,F,CO,45<54,7622
2017,STOOL,F,CO,55<64,6761
2017,STOOL,F,CO,65<74,8796
2017,STOOL,F,CO,75<84,8891
2017,STOOL,F,CO,85<,7345
2017,BLOOD,M,CO,<1,22246
2017,BLOOD,M,CO,01<04,35993
2017,BLOOD,M,CO,05<14,17598
2017,BLOOD,M,CO,15<24,9388
2017,BLOOD,M,CO,25<34,10539
2017,BLOOD,M,CO,35<44,14668
2017,BLOOD,M,CO,45<54,19632
2017,BLOOD,M,CO,55<64,30031
2017,BLOOD,M,CO,65<74,67006
2017,BLOOD,M,CO,75<84,93528
2017,BLOOD,M,CO,85<,62178
2017,BLOOD,F,CO,<1,16612
2017,BLOOD,F,CO,01<04,29823
2017,BLOOD,F,CO,05<14,14255
2017,BLOOD,F,CO,15<24,9403
2017,BLOOD,F,CO,25<34,11439
2017,BLOOD,F,CO,35<44,13127
2017,BLOOD,F,CO,45<54,15351
2017,BLOOD,F,CO,55<64,19407
2017,BLOOD,F,CO,65<74,38252
2017,BLOOD,F,CO,75<84,67978
2017,BLOOD,F,CO,85<,84022
2017,URINE,M,HO,<1,11183
2017,URINE,M,HO,01<04,6144
2017,URINE,M,HO,05<14,3750
2017,URINE,M,HO,15<24,3536
2017,URINE,M,HO,25<34,4175
2017,URINE,M,HO,35<44,8388
2017,URINE,M,HO,45<54,16402
2017,URINE,M,HO,55<64,31930
2017,URINE,M,HO,65<74,75620
2017,URINE,M,HO,75<84,97592
2017,URINE,M,HO,85<,59964
2017,URINE,F,HO,<1,8077
2017,URINE,F,HO,01<04,6090
2017,URINE,F,HO,05<14,3707
2017,URINE,F,HO,15<24,4106
2017,URINE,F,HO,25<34,6994
2017,URINE,F,HO,35<44,9441
2017,URINE,F,HO,45<54,13620
2017,URINE,F,HO,55<64,20408
2017,URINE,F,HO,65<74,46393
2017,URINE,F,HO,75<84,87078
2017,URINE,F,HO,85<,104008
2017,STOOL,M,HO,<1,28060
2017,STOOL,M,HO,01<04,9089
2017,STOOL,M,HO,05<14,7920
2017,STOOL,M,HO,15<24,4999
2017,STOOL,M,HO,25<34,4751
2017,STOOL,M,HO,35<44,6444
2017,STOOL,M,HO,45<54,10143
2017,STOOL,M,HO,55<64,17187
2017,STOOL,M,HO,65<74,36270
2017,STOOL,M,HO,75<84,39551
2017,STOOL,M,HO,85<,20565
2017,STOOL,F,HO,<1,20801
2017,STOOL,F,HO,01<04,7046
2017,STOOL,F,HO,05<14,6203
2017,STOOL,F,HO,15<24,4230
2017,STOOL,F,HO,25<34,5016
2017,STOOL,F,HO,35<44,5992
2017,STOOL,F,HO,45<54,7890
2017,STOOL,F,HO,55<64,10718
2017,STOOL,F,HO,65<74,21468
2017,STOOL,F,HO,75<84,31541
2017,STOOL,F,HO,85<,31685
2017,BLOOD,M,HO,<1,35234
2017,BLOOD,M,HO,01<04,17320
2017,BLOOD,M,HO,05<14,9160
2017,BLOOD,M,HO,15<24,7414
2017,BLOOD,M,HO,25<34,8681
2017,BLOOD,M,HO,35<44,15489
2017,BLOOD,M,HO,45<54,28431
2017,BLOOD,M,HO,55<64,53046
2017,BLOOD,M,HO,65<74,117416
2017,BLOOD,M,HO,75<84,136657
2017,BLOOD,M,HO,85<,73475
2017,BLOOD,F,HO,<1,24877
2017,BLOOD,F,HO,01<04,14389
2017,BLOOD,F,HO,05<14,7510
2017,BLOOD,F,HO,15<24,6393
2017,BLOOD,F,HO,25<34,9392
2017,BLOOD,F,HO,35<44,13187
2017,BLOOD,F,HO,45<54,18975
2017,BLOOD,F,HO,55<64,28297
2017,BLOOD,F,HO,65<74,58958
2017,BLOOD,F,HO,75<84,94530
2017,BLOOD,F,HO,85<,96724
