﻿COUNTRY,YEAR,SPECIMEN,PATHOGEN,GENDER,ORIGIN,AGEGROUP,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS,BATCHID
JPN,2017,URINE,ESCCOL,M,CO,<1,AMP,1427,18,5,2206,137,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,AMP,459,7,1,276,35,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,AMP,306,5,1,270,13,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,AMP,197,3,0,262,30,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,AMP,264,1,1,295,50,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,AMP,498,5,3,525,56,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,AMP,841,24,3,935,121,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,AMP,1780,40,3,2043,239,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,AMP,5236,91,37,5916,660,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,AMP,8026,139,33,8424,1032,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,AMP,5373,90,35,4734,520,6,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,AMP,726,14,3,1095,53,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,AMP,299,2,1,133,22,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,AMP,279,2,0,73,14,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,AMP,220,0,1,129,18,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,AMP,233,2,1,138,18,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,AMP,467,16,0,276,52,3,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,AMP,994,13,10,683,112,6,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,AMP,2115,36,6,1520,252,11,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,AMP,5299,76,25,3871,798,14,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,AMP,8407,132,16,5927,1421,13,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,AMP,5944,80,21,3825,1007,7,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,AMP,661,10,3,1109,84,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,AMP,729,6,1,763,56,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,AMP,638,9,5,1034,71,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,AMP,1037,14,7,2344,292,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,AMP,1362,23,6,2872,309,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,AMP,1664,19,7,3384,414,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,AMP,2601,49,12,5334,582,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,AMP,4368,84,19,6583,771,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,AMP,9499,163,41,14180,1843,6,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,AMP,15947,310,70,21402,2150,4,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,AMP,16544,363,103,18676,1733,12,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,AMP,439,10,2,673,43,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,AMP,508,4,2,322,54,0,DS1
