﻿COUNTRY,YEAR,SPECIMEN,PATHOGEN,GENDER,ORIGIN,AGEGROUP,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS,BATCHID
JPN,2017,URINE,ESCCOL,M,CO,<1,AMP,1374,18,5,2187,118,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,AMP,432,7,1,273,25,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,AMP,297,5,1,268,12,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,AMP,190,3,0,257,25,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,AMP,250,1,1,294,40,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,AMP,476,5,3,517,52,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,AMP,807,24,2,929,114,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,AMP,1694,39,3,2021,211,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,AMP,4924,90,36,5820,553,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,AMP,7550,139,32,8269,828,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,AMP,4974,89,35,4616,382,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,AMP,683,14,3,1078,42,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,AMP,276,2,1,132,22,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,AMP,247,2,0,70,9,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,AMP,192,0,1,128,22,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,AMP,204,2,1,135,16,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,AMP,416,16,0,268,32,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,AMP,887,13,10,672,72,4,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,AMP,1859,36,5,1477,179,10,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,AMP,4697,74,22,3770,596,11,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,AMP,7442,131,15,5775,1037,10,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,AMP,5278,79,20,3709,841,6,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,AMP,637,10,3,1100,66,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,AMP,698,6,1,759,30,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,AMP,615,9,5,1024,65,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,AMP,1009,14,7,2336,288,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,AMP,1344,23,6,2848,298,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,AMP,1627,19,6,3368,403,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,AMP,2521,49,12,5269,555,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,AMP,4193,83,19,6506,727,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,AMP,9105,162,39,13996,1713,6,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,AMP,15091,301,69,20984,2025,4,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,AMP,15589,360,99,18236,1484,12,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,AMP,401,10,2,666,30,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,AMP,466,4,2,320,47,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,AMP,282,1,1,259,30,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,AMP,287,6,2,338,23,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,AMP,394,6,2,438,58,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,AMP,636,13,2,830,78,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,AMP,1266,21,8,1554,107,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,AMP,2368,35,10,2631,294,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,AMP,6003,110,31,6598,915,11,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,AMP,12760,278,68,14281,2147,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,AMP,17089,347,82,17524,3346,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,IPM,0,1,0,3375,315,11,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,IPM,1,1,0,650,82,4,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,IPM,0,1,0,537,44,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,IPM,0,0,0,409,61,5,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,IPM,0,1,0,503,80,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,IPM,0,1,0,951,100,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,IPM,2,1,0,1693,166,14,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,IPM,2,1,0,3597,341,27,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,IPM,2,3,0,10319,1022,77,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,IPM,4,16,0,15277,1403,120,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,IPM,3,6,0,9177,824,91,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,IPM,0,2,0,1678,135,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,IPM,0,0,0,389,43,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,IPM,0,1,0,309,18,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,IPM,0,0,0,306,37,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,IPM,0,0,0,321,37,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,IPM,0,1,0,668,63,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,IPM,2,2,0,1515,136,3,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,IPM,1,2,0,3229,324,10,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,IPM,1,5,0,8239,890,35,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,IPM,6,9,0,12836,1502,57,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,IPM,2,7,0,8758,1111,55,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,IPM,0,0,0,1640,165,11,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,IPM,0,1,0,1318,167,8,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,IPM,1,0,0,1520,186,11,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,IPM,0,0,0,3133,477,45,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,IPM,2,0,0,3953,525,39,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,IPM,0,1,0,4721,643,58,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,IPM,1,4,0,7365,955,82,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,IPM,3,4,0,10276,1156,89,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,IPM,4,13,0,22270,2559,175,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,IPM,9,15,0,34468,3603,379,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,IPM,7,15,0,32318,3105,335,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,IPM,0,2,0,1042,61,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,IPM,0,2,0,753,82,2,DS1
