YEAR,ORIGIN,AGEGROUP,SPECIMEN,PATHOGEN,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS
2017,CO,~14,URINE,ESCCOL,AMP,4220,55,16,5658,396,0
2017,CO,~14,URINE,ESCCOL,IPM,2,4,0,9310,982,47
2017,CO,~14,URINE,ESCCOL,MEM,5,1,0,10294,0,45
2017,CO,~14,URINE,ESCCOL,DOR,0,0,0,0,9876,469
2017,CO,~14,URINE,ESCCOL,CTX,1299,39,0,6822,2052,133
2017,CO,~14,URINE,ESCCOL,CRO,1001,14,0,6012,3305,13
2017,CO,~14,URINE,ESCCOL,CAZ,537,236,0,9174,327,71
2017,CO,~14,URINE,ESCCOL,FEP,714,80,2,8512,1033,4
2017,CO,~14,URINE,ESCCOL,COL,0,0,0,0,10274,71
2017,CO,~14,URINE,ESCCOL,LVX,1880,86,10,7915,454,0
2017,CO,~14,URINE,ESCCOL,CIP,994,9,9,3833,5491,9
2017,CO,~14,URINE,ESCCOL,J01EE,1663,0,0,6369,2214,99
2017,CO,~14,URINE,KLEPNE,IPM,0,2,0,1111,127,6
2017,CO,~14,URINE,KLEPNE,MEM,2,2,0,1236,0,6
2017,CO,~14,URINE,KLEPNE,DOR,0,0,0,0,1180,66
2017,CO,~14,URINE,KLEPNE,CTX,84,2,0,913,229,18
2017,CO,~14,URINE,KLEPNE,CRO,65,3,0,771,405,2
2017,CO,~14,URINE,KLEPNE,CAZ,47,14,0,1112,64,9
2017,CO,~14,URINE,KLEPNE,FEP,52,9,0,1076,109,0
2017,CO,~14,URINE,KLEPNE,COL,0,0,0,0,1233,13
2017,CO,~14,URINE,KLEPNE,LVX,12,14,0,1153,67,0
2017,CO,~14,URINE,KLEPNE,CIP,13,13,0,560,660,0
2017,CO,~14,URINE,KLEPNE,J01EE,173,0,0,793,268,12
2017,CO,~14,BLOOD,ESCCOL,AMP,58,1,0,82,4,0
2017,CO,~14,BLOOD,ESCCOL,IPM,0,0,0,136,9,0
2017,CO,~14,BLOOD,ESCCOL,MEM,0,0,0,141,4,0
2017,CO,~14,BLOOD,ESCCOL,DOR,0,0,0,0,137,8
2017,CO,~14,BLOOD,ESCCOL,CTX,14,1,0,106,24,0
2017,CO,~14,BLOOD,ESCCOL,CRO,15,0,0,87,43,0
2017,CO,~14,BLOOD,ESCCOL,CAZ,6,2,0,132,4,1
2017,CO,~14,BLOOD,ESCCOL,FEP,8,0,0,118,19,0
2017,CO,~14,BLOOD,ESCCOL,COL,0,0,0,0,143,2
2017,CO,~14,BLOOD,ESCCOL,LVX,21,2,0,117,5,0
2017,CO,~14,BLOOD,ESCCOL,CIP,9,0,0,55,81,0
2017,CO,~14,BLOOD,ESCCOL,J01EE,16,0,0,100,26,3
2017,CO,~14,BLOOD,KLEPNE,IPM,0,0,0,18,2,0
2017,CO,~14,BLOOD,KLEPNE,MEM,0,0,0,19,1,0
2017,CO,~14,BLOOD,KLEPNE,DOR,0,0,0,0,19,1
2017,CO,~14,BLOOD,KLEPNE,CTX,2,0,0,12,6,0
2017,CO,~14,BLOOD,KLEPNE,CRO,1,0,0,14,5,0
2017,CO,~14,BLOOD,KLEPNE,CAZ,0,0,0,16,4,0
2017,CO,~14,BLOOD,KLEPNE,FEP,0,0,0,19,1,0
2017,CO,~14,BLOOD,KLEPNE,COL,0,0,0,0,19,1
2017,CO,~14,BLOOD,KLEPNE,LVX,0,0,0,19,1,0
2017,CO,~14,BLOOD,KLEPNE,CIP,0,0,0,9,11,0
2017,CO,~14,BLOOD,KLEPNE,J01EE,2,0,0,10,8,0
2017,CO,~14,BLOOD,ACISPP,IPM,0,0,0,3,2,0
2017,CO,~14,BLOOD,ACISPP,MEM,0,0,0,5,0,0
2017,CO,~14,BLOOD,ACISPP,DOR,0,0,0,0,3,2
2017,CO,~14,BLOOD,ACISPP,COL,0,0,0,2,3,0
2017,CO,~14,BLOOD,ACISPP,AMK,0,0,0,5,0,0
2017,CO,~14,BLOOD,ACISPP,MNO,0,0,0,5,0,0
2017,CO,~14,BLOOD,STAAUR,OXA,44,0,0,174,0,0
2017,CO,~14,BLOOD,STRPNE,CTX,0,1,0,285,55,0
2017,CO,~14,BLOOD,STRPNE,CRO,0,0,0,278,63,0
2017,CO,~14,BLOOD,STRPNE,J01EE,45,63,0,147,85,1
2017,CO,~14,BLOOD,STRPNE,OXA,0,0,0,0,340,1
2017,CO,~14,BLOOD,STRPNE,PEN,1,1,0,339,0,0
2017,CO,~14,BLOOD,SALSPP,IPM,0,0,0,37,4,0
