YEAR,ORIGIN,AGEGROUP,SPECIMEN,PATHOGEN,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS
2017,CO,~14,URINE,ESCCOL,AMP,4053,55,16,5611,316,0
2017,CO,~14,URINE,ESCCOL,IPM,2,4,0,9040,959,46
2017,CO,~14,URINE,ESCCOL,MEM,5,1,0,10001,0,44
2017,CO,~14,URINE,ESCCOL,DOR,0,0,0,0,9592,459
2017,CO,~14,URINE,ESCCOL,CTX,1237,38,0,6688,1959,129
2017,CO,~14,URINE,ESCCOL,CRO,945,14,0,5890,3189,13
2017,CO,~14,URINE,ESCCOL,CAZ,514,232,0,8968,268,69
2017,CO,~14,URINE,ESCCOL,FEP,683,80,2,8322,960,4
2017,CO,~14,URINE,ESCCOL,COL,0,0,0,0,9983,68
2017,CO,~14,URINE,ESCCOL,LVX,1801,84,10,7757,399,0
2017,CO,~14,URINE,ESCCOL,CIP,951,8,9,3774,5300,9
2017,CO,~14,URINE,ESCCOL,J01EE,1604,0,0,6246,2104,97
2017,CO,~14,URINE,KLEPNE,IPM,0,2,0,1065,119,6
2017,CO,~14,URINE,KLEPNE,MEM,2,2,0,1182,0,6
2017,CO,~14,URINE,KLEPNE,DOR,0,0,0,0,1127,65
2017,CO,~14,URINE,KLEPNE,CTX,75,2,0,875,222,18
2017,CO,~14,URINE,KLEPNE,CRO,56,3,0,739,392,2
2017,CO,~14,URINE,KLEPNE,CAZ,42,14,0,1071,56,9
2017,CO,~14,URINE,KLEPNE,FEP,48,9,0,1034,101,0
2017,CO,~14,URINE,KLEPNE,COL,0,0,0,0,1179,13
2017,CO,~14,URINE,KLEPNE,LVX,12,13,0,1101,66,0
2017,CO,~14,URINE,KLEPNE,CIP,13,11,0,544,624,0
2017,CO,~14,URINE,KLEPNE,J01EE,156,0,0,765,259,12
2017,CO,~14,BLOOD,ESCCOL,AMP,48,1,0,74,4,0
2017,CO,~14,BLOOD,ESCCOL,IPM,0,0,0,119,8,0
2017,CO,~14,BLOOD,ESCCOL,MEM,0,0,0,123,4,0
2017,CO,~14,BLOOD,ESCCOL,DOR,0,0,0,0,119,8
2017,CO,~14,BLOOD,ESCCOL,CTX,10,1,0,96,20,0
2017,CO,~14,BLOOD,ESCCOL,CRO,12,0,0,78,37,0
2017,CO,~14,BLOOD,ESCCOL,CAZ,5,2,0,116,3,1
2017,CO,~14,BLOOD,ESCCOL,FEP,7,0,0,108,12,0
2017,CO,~14,BLOOD,ESCCOL,COL,0,0,0,0,125,2
2017,CO,~14,BLOOD,ESCCOL,LVX,18,2,0,104,3,0
2017,CO,~14,BLOOD,ESCCOL,CIP,9,0,0,50,68,0
2017,CO,~14,BLOOD,ESCCOL,J01EE,12,0,0,88,24,3
2017,CO,~14,BLOOD,KLEPNE,IPM,0,0,0,16,1,0
2017,CO,~14,BLOOD,KLEPNE,MEM,0,0,0,16,1,0
2017,CO,~14,BLOOD,KLEPNE,DOR,0,0,0,0,16,1
2017,CO,~14,BLOOD,KLEPNE,CTX,1,0,0,11,5,0
2017,CO,~14,BLOOD,KLEPNE,CRO,0,0,0,13,4,0
2017,CO,~14,BLOOD,KLEPNE,CAZ,0,0,0,15,2,0
2017,CO,~14,BLOOD,KLEPNE,FEP,0,0,0,17,0,0
2017,CO,~14,BLOOD,KLEPNE,COL,0,0,0,0,16,1
2017,CO,~14,BLOOD,KLEPNE,LVX,0,0,0,16,1,0
2017,CO,~14,BLOOD,KLEPNE,CIP,0,0,0,9,8,0
2017,CO,~14,BLOOD,KLEPNE,J01EE,1,0,0,10,6,0
2017,CO,~14,BLOOD,ACISPP,IPM,0,0,0,3,2,0
2017,CO,~14,BLOOD,ACISPP,MEM,0,0,0,5,0,0
2017,CO,~14,BLOOD,ACISPP,DOR,0,0,0,0,3,2
2017,CO,~14,BLOOD,ACISPP,COL,0,0,0,2,3,0
2017,CO,~14,BLOOD,ACISPP,AMK,0,0,0,5,0,0
2017,CO,~14,BLOOD,ACISPP,MNO,0,0,0,5,0,0
2017,CO,~14,BLOOD,STAAUR,OXA,41,0,0,166,0,0
2017,CO,~14,BLOOD,STRPNE,CTX,0,1,0,271,52,0
2017,CO,~14,BLOOD,STRPNE,CRO,0,0,0,265,59,0
2017,CO,~14,BLOOD,STRPNE,J01EE,43,62,0,139,79,1
2017,CO,~14,BLOOD,STRPNE,OXA,0,0,0,0,323,1
2017,CO,~14,BLOOD,STRPNE,PEN,1,1,0,322,0,0
2017,CO,~14,BLOOD,SALSPP,IPM,0,0,0,35,4,0
2017,CO,~14,BLOOD,SALSPP,MEM,0,0,0,37,2,0
2017,CO,~14,BLOOD,SALSPP,DOR,0,0,0,0,35,4
2017,CO,~14,BLOOD,SALSPP,CTX,0,0,0,29,10,0
2017,CO,~14,BLOOD,SALSPP,CRO,0,0,0,28,11,0
2017,CO,~14,BLOOD,SALSPP,CAZ,0,0,0,34,5,0
2017,CO,~14,BLOOD,SALSPP,LVX,0,0,0,39,0,0
2017,CO,~14,BLOOD,SALSPP,CIP,0,0,0,18,21,0
2017,CO,~14,STOOL,SALSPP,IPM,0,0,0,999,100,4
2017,CO,~14,STOOL,SALSPP,MEM,1,0,0,1054,44,4
2017,CO,~14,STOOL,SALSPP,DOR,0,0,0,0,1062,41
2017,CO,~14,STOOL,SALSPP,CTX,10,0,0,822,263,8
2017,CO,~14,STOOL,SALSPP,CRO,16,2,0,737,345,3
2017,CO,~14,STOOL,SALSPP,CAZ,11,2,0,1013,69,8
2017,CO,~14,STOOL,SALSPP,LVX,3,6,0,1094,0,0
2017,CO,~14,STOOL,SALSPP,CIP,4,1,0,516,580,2
2017,CO,~14,STOOL,SHISPP,CTX,1,0,0,4,2,0
2017,CO,~14,STOOL,SHISPP,CRO,0,0,0,5,2,0
2017,CO,~14,STOOL,SHISPP,CAZ,0,1,0,6,0,0
2017,CO,~14,STOOL,SHISPP,LVX,1,1,0,5,0,0
2017,CO,~14,STOOL,SHISPP,CIP,1,0,0,1,5,0
2017,CO,15~64,URINE,ESCCOL,AMP,14111,260,59,24345,2713,2
2017,CO,15~64,URINE,ESCCOL,IPM,10,13,0,36601,4504,362
2017,CO,15~64,URINE,ESCCOL,MEM,8,4,0,40569,582,327
2017,CO,15~64,URINE,ESCCOL,DOR,0,0,0,0,38977,2513
2017,CO,15~64,URINE,ESCCOL,CTX,3777,115,30,26394,10794,380
2017,CO,15~64,URINE,ESCCOL,CRO,3588,55,8,26453,11355,31
2017,CO,15~64,URINE,ESCCOL,CAZ,1879,815,2,36498,1830,466
2017,CO,15~64,URINE,ESCCOL,FEP,2420,272,15,33075,5688,20
2017,CO,15~64,URINE,ESCCOL,COL,0,0,0,0,40986,504
2017,CO,15~64,URINE,ESCCOL,LVX,9243,509,38,31658,42,0
2017,CO,15~64,URINE,ESCCOL,CIP,4617,83,24,14646,22097,23
2017,CO,15~64,URINE,ESCCOL,J01EE,5335,0,0,26802,9250,103
2017,CO,15~64,URINE,KLEPNE,IPM,1,10,0,4165,416,23
2017,CO,15~64,URINE,KLEPNE,MEM,1,2,0,4570,20,22
2017,CO,15~64,URINE,KLEPNE,DOR,0,0,0,0,4316,299
2017,CO,15~64,URINE,KLEPNE,CTX,263,5,2,3210,1098,37
2017,CO,15~64,URINE,KLEPNE,CRO,235,4,2,3083,1282,9
2017,CO,15~64,URINE,KLEPNE,CAZ,134,39,0,4279,123,40
2017,CO,15~64,URINE,KLEPNE,FEP,138,19,3,3901,552,2
2017,CO,15~64,URINE,KLEPNE,COL,0,0,0,0,4559,56
2017,CO,15~64,URINE,KLEPNE,LVX,113,60,0,4402,40,0
2017,CO,15~64,URINE,KLEPNE,CIP,65,33,0,2043,2474,0
2017,CO,15~64,URINE,KLEPNE,J01EE,471,0,0,3122,1011,11
2017,CO,15~64,BLOOD,ESCCOL,AMP,1061,22,2,2009,79,0
2017,CO,15~64,BLOOD,ESCCOL,IPM,2,0,0,2881,279,11
2017,CO,15~64,BLOOD,ESCCOL,MEM,0,0,0,3154,8,11
2017,CO,15~64,BLOOD,ESCCOL,DOR,0,0,0,0,2955,218
2017,CO,15~64,BLOOD,ESCCOL,CTX,300,7,0,2115,732,19
2017,CO,15~64,BLOOD,ESCCOL,CRO,295,4,0,2047,826,1
2017,CO,15~64,BLOOD,ESCCOL,CAZ,160,76,0,2871,38,28
2017,CO,15~64,BLOOD,ESCCOL,FEP,219,35,1,2722,196,0
2017,CO,15~64,BLOOD,ESCCOL,COL,0,0,0,0,3120,53
2017,CO,15~64,BLOOD,ESCCOL,LVX,625,36,2,2456,54,0
2017,CO,15~64,BLOOD,ESCCOL,CIP,313,6,2,1227,1622,3
2017,CO,15~64,BLOOD,ESCCOL,J01EE,457,0,0,1960,737,19
2017,CO,15~64,BLOOD,KLEPNE,IPM,0,0,0,986,90,4
2017,CO,15~64,BLOOD,KLEPNE,MEM,0,0,0,1070,6,4
2017,CO,15~64,BLOOD,KLEPNE,DOR,0,0,0,0,1005,75
2017,CO,15~64,BLOOD,KLEPNE,CTX,16,1,0,793,261,9
2017,CO,15~64,BLOOD,KLEPNE,CRO,21,3,0,777,279,0
2017,CO,15~64,BLOOD,KLEPNE,CAZ,12,3,0,1031,22,12
2017,CO,15~64,BLOOD,KLEPNE,FEP,11,1,0,978,90,0
2017,CO,15~64,BLOOD,KLEPNE,COL,0,0,0,0,1058,22
2017,CO,15~64,BLOOD,KLEPNE,LVX,9,6,0,1032,33,0
2017,CO,15~64,BLOOD,KLEPNE,CIP,9,4,0,482,585,0
2017,CO,15~64,BLOOD,KLEPNE,J01EE,47,0,0,806,224,3
2017,CO,15~64,BLOOD,ACISPP,IPM,0,0,0,13,9,0
2017,CO,15~64,BLOOD,ACISPP,MEM,0,0,0,22,0,0
2017,CO,15~64,BLOOD,ACISPP,DOR,0,0,0,0,15,7
2017,CO,15~64,BLOOD,ACISPP,COL,0,0,0,7,15,0
2017,CO,15~64,BLOOD,ACISPP,AMK,0,0,0,21,1,0
2017,CO,15~64,BLOOD,ACISPP,MNO,0,0,0,18,4,0
2017,CO,15~64,BLOOD,STAAUR,OXA,295,0,0,1111,0,0
2017,CO,15~64,BLOOD,STRPNE,CTX,0,6,0,358,76,0
2017,CO,15~64,BLOOD,STRPNE,CRO,1,2,0,400,37,0
2017,CO,15~64,BLOOD,STRPNE,J01EE,84,38,1,222,91,4
2017,CO,15~64,BLOOD,STRPNE,OXA,0,0,0,0,437,3
2017,CO,15~64,BLOOD,STRPNE,PEN,0,3,0,436,1,0
2017,CO,15~64,BLOOD,SALSPP,IPM,0,0,0,72,17,0
2017,CO,15~64,BLOOD,SALSPP,MEM,0,0,0,82,7,0
2017,CO,15~64,BLOOD,SALSPP,DOR,0,0,0,0,86,3
2017,CO,15~64,BLOOD,SALSPP,CTX,2,1,0,67,19,0
2017,CO,15~64,BLOOD,SALSPP,CRO,2,1,0,63,23,0
2017,CO,15~64,BLOOD,SALSPP,CAZ,2,0,0,85,2,0
2017,CO,15~64,BLOOD,SALSPP,LVX,3,0,0,83,3,0
2017,CO,15~64,BLOOD,SALSPP,CIP,1,1,0,25,62,0
2017,CO,15~64,STOOL,SALSPP,IPM,0,1,0,791,93,3
2017,CO,15~64,STOOL,SALSPP,MEM,0,0,0,859,27,2
2017,CO,15~64,STOOL,SALSPP,DOR,0,0,0,0,836,52
2017,CO,15~64,STOOL,SALSPP,CTX,19,2,0,629,237,1
2017,CO,15~64,STOOL,SALSPP,CRO,14,2,0,620,251,1
2017,CO,15~64,STOOL,SALSPP,CAZ,23,1,0,804,57,3
2017,CO,15~64,STOOL,SALSPP,LVX,8,3,0,873,4,0
2017,CO,15~64,STOOL,SALSPP,CIP,8,0,0,366,513,1
2017,CO,15~64,STOOL,SHISPP,CTX,3,0,0,27,15,0
2017,CO,15~64,STOOL,SHISPP,CRO,4,0,0,24,17,0
2017,CO,15~64,STOOL,SHISPP,CAZ,0,0,0,43,2,0
2017,CO,15~64,STOOL,SHISPP,LVX,3,16,0,20,6,0
2017,CO,15~64,STOOL,SHISPP,CIP,10,0,0,6,29,0
2017,CO,65~,URINE,ESCCOL,AMP,57233,1141,310,71921,6985,29
2017,CO,65~,URINE,ESCCOL,IPM,29,68,0,123829,12516,1177
2017,CO,65~,URINE,ESCCOL,MEM,52,17,0,135480,996,1074
2017,CO,65~,URINE,ESCCOL,DOR,0,0,0,0,129331,8288
2017,CO,65~,URINE,ESCCOL,CTX,21040,425,102,82366,32518,1168
2017,CO,65~,URINE,ESCCOL,CRO,19727,224,42,79355,38169,102
2017,CO,65~,URINE,ESCCOL,CAZ,10899,4575,12,117179,3567,1387
2017,CO,65~,URINE,ESCCOL,FEP,14018,1682,75,104906,16821,117
2017,CO,65~,URINE,ESCCOL,COL,0,0,0,0,135936,1683
2017,CO,65~,URINE,ESCCOL,LVX,50781,3463,283,82976,116,0
2017,CO,65~,URINE,ESCCOL,CIP,25237,341,160,38482,73356,43
2017,CO,65~,URINE,ESCCOL,J01EE,19877,0,0,88690,28600,452
2017,CO,65~,URINE,KLEPNE,IPM,9,66,0,23812,2248,266
2017,CO,65~,URINE,KLEPNE,MEM,13,5,0,26087,44,252
2017,CO,65~,URINE,KLEPNE,DOR,0,0,0,0,24818,1583
2017,CO,65~,URINE,KLEPNE,CTX,1211,50,9,18928,5890,313
2017,CO,65~,URINE,KLEPNE,CRO,1139,42,2,17912,7275,31
2017,CO,65~,URINE,KLEPNE,CAZ,698,164,0,24724,474,341
2017,CO,65~,URINE,KLEPNE,FEP,726,119,6,22623,2917,10
2017,CO,65~,URINE,KLEPNE,COL,0,0,0,0,26074,327
2017,CO,65~,URINE,KLEPNE,LVX,552,320,7,25431,91,0
2017,CO,65~,URINE,KLEPNE,CIP,396,173,10,11627,14194,1
2017,CO,65~,URINE,KLEPNE,J01EE,2145,0,0,18933,5238,85
2017,CO,65~,BLOOD,ESCCOL,AMP,8595,203,22,14225,804,0
2017,CO,65~,BLOOD,ESCCOL,IPM,3,9,0,21534,2162,141
2017,CO,65~,BLOOD,ESCCOL,MEM,4,3,0,23671,40,131
2017,CO,65~,BLOOD,ESCCOL,DOR,0,0,0,0,22531,1318
2017,CO,65~,BLOOD,ESCCOL,CTX,3075,83,12,15044,5450,185
2017,CO,65~,BLOOD,ESCCOL,CRO,2824,42,5,14369,6605,4
2017,CO,65~,BLOOD,ESCCOL,CAZ,1726,687,1,21129,80,226
2017,CO,65~,BLOOD,ESCCOL,FEP,2164,343,11,19607,1717,7
2017,CO,65~,BLOOD,ESCCOL,COL,0,0,0,0,23626,223
2017,CO,65~,BLOOD,ESCCOL,LVX,6158,324,19,16967,381,0
2017,CO,65~,BLOOD,ESCCOL,CIP,3032,54,11,8210,12530,12
2017,CO,65~,BLOOD,ESCCOL,J01EE,3201,0,0,15457,5029,162
2017,CO,65~,BLOOD,KLEPNE,IPM,2,12,0,7071,584,47
2017,CO,65~,BLOOD,KLEPNE,MEM,4,1,0,7669,0,42
2017,CO,65~,BLOOD,KLEPNE,DOR,0,0,0,0,7307,409
2017,CO,65~,BLOOD,KLEPNE,CTX,212,10,4,5772,1660,58
2017,CO,65~,BLOOD,KLEPNE,CRO,170,7,1,5412,2126,0
2017,CO,65~,BLOOD,KLEPNE,CAZ,115,35,0,7378,119,69
2017,CO,65~,BLOOD,KLEPNE,FEP,124,32,2,6935,621,2
2017,CO,65~,BLOOD,KLEPNE,COL,0,0,0,0,7628,88
2017,CO,65~,BLOOD,KLEPNE,LVX,91,47,0,7388,190,0
2017,CO,65~,BLOOD,KLEPNE,CIP,64,33,1,3455,4163,0
2017,CO,65~,BLOOD,KLEPNE,J01EE,354,0,0,5686,1622,54
2017,CO,65~,BLOOD,ACISPP,IPM,0,0,0,71,50,0
2017,CO,65~,BLOOD,ACISPP,MEM,0,0,0,119,1,1
2017,CO,65~,BLOOD,ACISPP,DOR,0,0,0,0,84,37
2017,CO,65~,BLOOD,ACISPP,COL,1,0,0,32,88,0
2017,CO,65~,BLOOD,ACISPP,AMK,1,0,0,119,1,0
2017,CO,65~,BLOOD,ACISPP,MNO,0,0,0,106,15,0
2017,CO,65~,BLOOD,STAAUR,OXA,1261,0,0,2721,0,0
2017,CO,65~,BLOOD,STRPNE,CTX,1,3,0,837,214,0
2017,CO,65~,BLOOD,STRPNE,CRO,4,5,0,948,98,0
2017,CO,65~,BLOOD,STRPNE,J01EE,146,108,0,566,231,4
2017,CO,65~,BLOOD,STRPNE,OXA,0,0,0,0,1045,10
2017,CO,65~,BLOOD,STRPNE,PEN,1,6,0,1048,0,0
2017,CO,65~,BLOOD,SALSPP,IPM,0,0,0,100,13,0
2017,CO,65~,BLOOD,SALSPP,MEM,0,0,0,102,11,0
2017,CO,65~,BLOOD,SALSPP,DOR,0,0,0,0,107,6
2017,CO,65~,BLOOD,SALSPP,CTX,0,0,0,79,34,0
2017,CO,65~,BLOOD,SALSPP,CRO,0,0,0,69,44,0
2017,CO,65~,BLOOD,SALSPP,CAZ,0,0,0,104,9,0
2017,CO,65~,BLOOD,SALSPP,LVX,0,1,0,110,2,0
2017,CO,65~,BLOOD,SALSPP,CIP,0,1,0,55,57,0
2017,CO,65~,STOOL,SALSPP,IPM,0,0,0,264,31,1
2017,CO,65~,STOOL,SALSPP,MEM,0,0,0,290,6,0
