YEAR,ORIGIN,AGEGROUP,SPECIMEN,NUMSAMPLEDPATIENTSS
2017,CO,~14,URINE,34749
2017,CO,~14,STOOL,51949
2017,CO,~14,BLOOD,110574
2017,CO,15~64,URINE,173117
2017,CO,15~64,STOOL,95022
2017,CO,15~64,BLOOD,125861
2017,CO,65~,URINE,403820
2017,CO,65~,STOOL,39309
2017,CO,65~,BLOOD,322883
2017,HO,~14,URINE,15628
2017,HO,~14,STOOL,29027
2017,HO,~14,BLOOD,77106
2017,HO,15~64,URINE,66409
2017,HO,15~64,STOOL,50573
2017,HO,15~64,BLOOD,157180
2017,HO,65~,URINE,269317
2017,HO,65~,STOOL,105551
2017,HO,65~,BLOOD,443485
